location,date_time,temperature,precipitation,wind_speed
Nicosia,2025-02-25 00:00:00,0.7,0.0,0.2
Nicosia,2025-02-25 01:00:00,0.2,0.0,0.1
Nicosia,2025-02-25 02:00:00,0.1,0.0,0.2
Nicosia,2025-02-25 03:00:00,0.1,0.0,0.1
Nicosia,2025-02-25 04:00:00,0.2,0.0,0.1
Nicosia,2025-02-25 05:00:00,1.1,0.0,0.2
Nicosia,2025-02-25 06:00:00,4.1,0.0,0.6
Nicosia,2025-02-25 07:00:00,7.3,0.0,0.6
Nicosia,2025-02-25 08:00:00,9.0,0.0,0.9
Nicosia,2025-02-25 09:00:00,10.1,0.0,0.8
Nicosia,2025-02-25 10:00:00,11.3,0.0,0.1
Nicosia,2025-02-25 11:00:00,12.4,0.0,1.0
Nicosia,2025-02-25 12:00:00,12.9,0.0,2.4
Nicosia,2025-02-25 13:00:00,11.7,0.0,3.2
Nicosia,2025-02-25 14:00:00,10.9,0.0,2.8
Nicosia,2025-02-25 15:00:00,9.9,0.0,1.8
Nicosia,2025-02-25 16:00:00,7.8,0.0,0.8
Nicosia,2025-02-25 17:00:00,6.7,0.0,0.8
Nicosia,2025-02-25 18:00:00,6.1,0.0,1.0
Nicosia,2025-02-25 19:00:00,5.9,0.0,1.6
Nicosia,2025-02-25 20:00:00,6.4,0.0,1.9
Nicosia,2025-02-25 21:00:00,6.3,0.0,1.6
Nicosia,2025-02-25 22:00:00,5.5,0.0,1.6
Nicosia,2025-02-25 23:00:00,5.3,0.0,1.7
Nicosia,2025-02-26 00:00:00,5.1,0.0,2.0
Nicosia,2025-02-26 01:00:00,5.8,0.0,2.1
Nicosia,2025-02-26 02:00:00,5.5,0.0,2.1
Nicosia,2025-02-26 03:00:00,5.3,0.0,1.8
Nicosia,2025-02-26 04:00:00,4.7,0.0,1.6
Nicosia,2025-02-26 05:00:00,5.3,0.0,1.6
Nicosia,2025-02-26 06:00:00,8.5,0.0,1.9
Nicosia,2025-02-26 07:00:00,11.5,0.0,1.8
Nicosia,2025-02-26 08:00:00,13.1,0.0,2.3
Nicosia,2025-02-26 09:00:00,14.2,0.0,2.3
Nicosia,2025-02-26 10:00:00,14.8,0.0,2.1
Nicosia,2025-02-26 11:00:00,15.0,0.0,1.8
Nicosia,2025-02-26 12:00:00,15.0,0.0,1.6
Nicosia,2025-02-26 13:00:00,14.5,0.0,1.6
Nicosia,2025-02-26 14:00:00,13.8,0.0,1.6
Nicosia,2025-02-26 15:00:00,13.0,0.0,1.5
Nicosia,2025-02-26 16:00:00,10.8,0.0,0.9
Nicosia,2025-02-26 17:00:00,9.7,0.0,0.3
